,not_blank_or_descriptive_lines
702,"Hah? Ain't no love lost, but the gloves off
"
703,"And we up in this bitch until they turn the club off
"
704,"Had to tell the dogs, ""Turn the snubs off!""
"
705,"Plus they already mad that the Cubs lost
"
706,"(Believe it or not) These two wrongs'll right you
"
707,"(Believe it or not) I was too grown in high school
"
708,"(Believe it or not) The true soul of Ice Cube
"
709,"Too close to snipe you, truth told, I like you
"
710,"Too bold to type you, too rich to fight you
"
711,"Calm down, you light skin!
"
712,"Make no mistake, girl, still love you (Make no)
"
713,"Make no mistake, girl, still love you (No way)
"
714,"(Believe it or not, the Lord still shines on you)
"
715,"Make no mistake, girl, still love you
"
716,"(Believe it or not, the Lord still shines on you)
"
717,"Make no mistake, girl, still love you
"
718,"(Believe it or not, the Lord still shines on you)
"
719,"Make no mistake, girl, still love you (No way)
"
720,"Make no mistake, girl, still love you
"
721,"Some day, some day
"
722,"Some day I'll, I wanna wear a starry crown
"
723,"Some day, some day, some day
"
724,"I wanna lay down, like God did, on Sunday
"
725,"Hold up, hold up
"
726,"Some day, some days, I remembered this on a Sunday
"
727,"Back way, yeah, way, way, burning, mhm-mhm
"
728,"Uh, some days, not gonna please everybody
"
729,"Some days I wanna hit the red dot on everybody
"
730,"Some days, ohh (Heatstroke)
"
731,"Now that I'm livin' high, I'm smokin' marijuana
"
732,"Now that I'm livin' high, I do what I wanna, oh, yeah
"
733,"I've been tryin' to make you love me
"
734,"But everything I try just takes you further from me
"
735,"Some day we gon' set it off
"
736,"Some day we gon' get this off
"
737,"Baby, don't you bet it all
"
738,"On a pack of Fentanyl
"
739,"You might think they wrote you off
"
740,"They gon' have to rope me off
"
741,"Someday the drama'll be gone
"
742,"And they'll play this song on and on
"
743,"Sometimes I take all the shine
"
744,"Talk like I drank all the wine
"
745,"Years ahead but way behind
"
746,"I'm on one, two, three, four, five
"
747,"No half-truths, just naked minds
"
748,"Caught between space and time
"
749,"This not what we had in mind
"
750,"But maybe some day
"
751,"I've been tryin' to make you love me
"
752,"But everything I try just takes you further from me
"
753,"Woah, once again I am a child
"
754,"I let it all go, of everything that I know, yeah
"
755,"Of everything that I know, yeah
"
756,"And nothing hurts anymore, I feel kinda free
"
757,"We're still the kids we used to be, yeah, yeah
"
758,"I put my hand on a stove, to see if I still bleed, yeah
"
759,"And nothing hurts anymore, I feel kinda free
"
760,"We're still the kids we used to be, yeah, yeah
"
761,"I put my hand on a stove, to see if I still bleed, yeah
"
762,"And nothing hurts anymore, I feel kinda free
"
763,"We're still the kids we used to be, yeah, yeah
"
764,"I put my hand on a stove, to see if I still bleed, yeah
"
765,"And nothing hurts anymore, I feel kinda free
"
766,"We're still the kids we used to be, yeah, yeah
"
767,"I put my hand on a stove, to see if I still bleed, yeah
"
768,"And nothing hurts anymore, I feel kinda free
"
769,"Fallin', dreamin', talkin' in your sleep
"
770,"I know you want to cry all night, all night
"
771,"Plottin', schemin', findin'
"
772,"Reason to defend all of your violent nights
"
773,"Promise me you will see
"
774,"Don't you grow up in a hurry, your mom'll be worried, aw
"
775,"It was all part of the story, even the scary nights
"
776,"Thank you for all of the glory, you will be remembered, aw
"
777,"Thank you to all of the heroes of the night (night, night)
"
778,"They gotta repaint the colors, the lie is wearin' off
"
779,"Reality is upon us, colors drippin' off
"
780,"Colors drippin' off
"
781,"Niggas is savage, niggas is monsters
"
782,"Niggas is pimps, niggas is players
"
783,"'Til niggas have daughters, now they precautious
"
784,"Father, forgive me, I'm scared of the karma
"
785,"'Cause now I see women as somethin' to nurture
"
786,"Not somethin' to conquer
"
787,"I hope she like Nicki, I make her a monster
"
788,"Not havin' ménages, I'm just bein' silly
"
789,"I answered the door like Will Smith and Martin
"
790,"Nigga, do we have a problem?
"
791,"Matter fact, Marlon, this ain't Meet the Fockers
"
792,"I'll beat his ass, pray I beat the charges
"
793,"No, Daddy don't play, not when it come to they daughters
"
794,"Don't do no yoga, don't do pilates
"
795,"Just play piano and stick to karate
"
796,"I pray your body's draped more like mine
"
797,"And not like your mommy's
"
798,"Just bein' salty, but niggas is nuts
"
799,"And I am a nigga, I know what they want
"
800,"I pray that you don't get it all at once
"
801,"Curves under your dress, I know it's pervs all on the net
"
802,"All in the comments, you wanna vomit
"
803,"That's your baby, you love her to death
"
804,"Now she cuttin' class and hangin' with friends
"
805,"You break a glass and say it again
"
806,"She can't comprehend the danger she in
"
807,"If you whoop her ass, she move in with him
"
808,"Then he whoop her ass, you go through it again
"
809,"But how you the devil rebukin' the sin?
"
810,"Let's pray we can put this behind us
"
811,"I swear that these times is the wildest
"
812,"She got the scars, they serve as reminders
"
813,"Blood still on her pajamas
"
814,"But yesterday is dead, yeah, moment of silence
"
815,"Next, she'll be off to college and then at the altar
"
816,"'Cause she know that niggas is savage, niggas is monsters
"
817,"Niggas is pimps, niggas is players, 'til niggas have daughters
"
818,"Niggas is pimps, niggas is players, 'til niggas have daughters
"
819,"Don't you grow up in a hurry, your mom'll be worried, aw
"
820,"It was all part of the story, even the scary nights
"
821,"Thank you for all of the glory, you will be remembered, aw
"
822,"Thank you to all of the heroes of the night (night, night)
"
823,"They gotta repaint the colors, the lie is wearin' off
"
824,"Reality is upon us, colors drippin' off
"
825,"Colors drippin' off
"
826,"I'm saying it like...
"
827,"""I want a daughter like Nicki, aw, man, I promise
"
828,"I'ma turn her to a monster, but no ménages""
"
829,"I don't know how you saying it but, let 'em hear this
"
830,"(Yes, God)
"
831,"We don't want no devils in the house, God (Yes, Lord)
"
832,"We want the lord (Yes, Jesus)
"
833,"And that's it (Yes, God)
"
834,"Hallej- hand over Satan (Yes, Jesus)
"
835,"Jesus praise the Lord (Yes, God)
"
836,"Hallelujah, God (Yes, God)
"
837,"We don't want no devils in the house, God (Yes, Lord)
"
838,"We want the lord (Yes, Jesus)
"
839,"And that's it (Yes, God)
"
840,"Hallej- hand over Satan (Yes, Jesus)
"
841,"Jesus praise the Lord (Yes, God)
"
842,"I'm tryna keep my faith
"
843,"We on an ultralight beam
"
844,"We on an ultralight beam
"
845,"This is a God dream
"
846,"This is a God dream
"
847,"This is everything
"
848,"This is everything
"
849,"Deliver us serenity
"
850,"Deliver us peace
"
851,"Deliver us loving
"
852,"We know we need it
"
853,"You know we need it
"
854,"You know we need it
"
855,"That's why we need You now, oh
"
856,"Pray for Paris
"
857,"Pray for the parents
"
858,"This is a God dream
"
859,"This is a God dream
"
860,"This is a God dream
"
861,"We on an ultralight beam
"
862,"We on an ultralight beam
"
863,"This is a God dream
"
864,"This is a God dream
"
865,"This is everything
"
866,"Everything (Thing, thing, thing)
"
867,"I'm tryna keep my faith
"
868,"But I'm looking for more
"
869,"Somewhere I can feel safe
"
870,"And end my holy war
"
871,"I'm tryna keep my faith
"
872,"So why send oppression not blessings?
"
873,"Why, oh, why'd You do me wrong? (More)
"
874,"You persecute the weak
"
875,"Because it makes You feel so strong (Safe)
"
876,"Don't have much strength to fight
"
877,"So I look to the light (War)
"
878,"To make these wrongs turn right
"
879,"Head up high, I look to the light
"
880,"Hey, 'cause I know that You'll make everything alright
"
881,"And I know that You'll take good care of Your child
"
882,"Oh, no longer am afraid of the night
"
883,"'Cause I, I look to the light
"
884,"When they come for You, I will shield Your name
"
885,"I will field their questions, I will feel Your pain
"
886,"No one can judge
"
887,"They don't, they don't know
"
888,"They don't know
"
889,"Foot on the Devil's neck 'til it drifted Pangaea
"
890,"I'm moving all my family from Chatham to Zambia
"
891,"Treat the demons just like Pam
"
892,"I mean I fuck with your friends, but damn, Gina
"
893,"I been this way since Arthur was anteater
"
894,"Now they wanna hit me with the woo wap, the bam
"
895,"Tryna snap photos of familia
"
896,"My daughter look just like Sia, you can't see her
"
897,"You can feel the lyrics, the spirit coming in braille
"
898,"Tubman of the underground, come and follow the trail
"
899,"I made Sunday Candy, I'm never going to hell
"
900,"I met Kanye West, I'm never going to fail
"
901,"He said, ""Let's do a good ass job with 'Chance 3'""
"
902,"I hear you gotta sell it to snatch the Grammy
"
903,"Let's make it so free and the bars so hard
"
904,"That there ain't one gosh darn part you can't tweet
"
905,"This is my part, nobody else speak
"
906,"This is my part, nobody else speak
"
907,"This little light of mine
"
908,"Glory be to God, yeah
"
909,"I'ma make sure that they go where they can't go
"
910,"If they don't wanna ride I'ma still give 'em raincoats
"
911,"Know what God said when He made the first rainbow
"
912,"Just throw this at the end if I'm too late for the intro
"
913,"Ugh, I'm just having fun with it
"
914,"You know that a nigga was lost
"
915,"I laugh in my head
"
916,"'Cause I bet that my ex looking back like a pillar of salt
"
917,"Ugh, 'cause they'll flip the script on your ass like Wesley and Spike
"
918,"You cannot mess with the light
"
919,"Look at lil' Chano from 79th
"
920,"We on an ultralight beam
"
921,"We on an ultralight beam
"
922,"This is a God dream
"
923,"This is a God dream
"
924,"This is everything
"
925,"Everything
"
926,"(Yes, God)
"
927,"(Hallelujah)
"
928,"I'm tryna keep my faith
"
929,"(Yes, Jesus)
"
930,"But I'm looking for more
"
931,"Somewhere I can feel safe
"
932,"And end my holy war
"
933,"Father, this prayer is for everyone that feels they're not good enough
"
934,"This prayer's for everybody that feel that they're too messed up
"
935,"For everyone that feels they've said ""I'm sorry"" too many times
"
936,"You can never go too far when you can't come back home again
"
937,"That's why I need...
"
938,"Faith, more, safe, war
"
939,"You're the only power (Power)
"
940,"You're the only power that can
"
941,"You're the only power (Power)
"
942,"You're the only power that can
"
943,"Ohh, ohh, ohh, father...
"
944,"If young Metro don't trust you I'm gon' shoot you
"
945,"Beautiful mornin', you're the sun in my mornin', babe
"
946,"Who can I turn to?
"
947,"Nothin' unwanted
"
948,"After all, who can I turn to?
"
949,"Beautiful mornin', you're the sun in my mornin', babe
"
950,"If I don't turn to you
"
951,"Nothin' unwanted
"
952,"No other help I know, I stretch my hands
"
953,"I just wanna feel liberated, I-I, na-na-na
"
954,"Who can I turn to?
"
955,"I just wanna feel liberated, I-I, na-na-na
"
956,"After all, who can I turn to?
"
957,"If I ever instigated, I am sorry
"
958,"If I don't turn to you
"
959,"Tell me who in here could relate, I-I-I
"
960,"No other help I know, I stretch my hands
"
961,"Now, if I fuck this model
"
962,"And she just bleached her asshole
"
963,"And I get bleach on my T-shirt
"
964,"I'ma feel like an asshole
"
965,"I was high when I met her
"
966,"We was down in Tribeca
"
967,"She'll get under your skin if you let her
"
968,"She'll get under your skin if you-uh
"
969,"I don't even wanna talk about it
"
970,"I don't even wanna talk about it
"
971,"I don't even wanna say nothin'
"
972,"Everybody gon' say somethin'
"
973,"I'd be worried if they said nothin'
"
974,"Remind me where I know you from
"
975,"She lookin' like she owe you some'n
"
976,"You know just what we want
"
977,"I wanna wake up with you in my...
"
978,"I wanna wake up with you in my...
"
979,"Beautiful mornin', you're the sun in my mornin', babe
"
980,"Who can I turn to?
"
981,"Beautiful mornin'
"
982,"Nothin' unwanted
"
983,"After all, who can I turn to?
"
984,"Beautiful mornin', you're the sun in my mornin', babe
"
985,"If I don't turn to you
"
986,"Nothin' unwanted
"
987,"No other help I know, I stretch my hands
"
988,"I just wanna feel liberated, I-I, na-na-na
"
989,"Who can I turn to?
"
990,"I just wanna feel liberated, I-I, na-na-na
"
991,"After all, who can I turn to?
"
992,"If I ever instigated, I am sorry
"
993,"If I don't turn to you
"
994,"Tell me who in here could relate, I-I-I
"
995,"No other help I know, I stretch my hands
"
996,"Faaaaaaaa— (Perfect)
"
997,"Faaaaaaaa—
"
998,"Faaaaaaaa—
"
999,"Faaaaaaaa—
"
1000,"I told, I told, ayy-ayy, I told you
"
1001,"Up in the mornin', miss you bad
"
1002,"Sorry I ain't call you back, same problem my father had
"
1003,"All this time, all he had, all he had
"
1004,"And what he dreamed, all his cash
"
1005,"Market crashed, hurt him bad
"
1006,"People get divorced for that
"
1007,"Dropped some stacks, pops is good
"
1008,"Mama passed in Hollywood
"
1009,"If you ask, lost my soul
"
1010,"Drivin' fast, lost control
"
1011,"Off the road, jaw was broke
"
1012,"'Member we all was broke
"
1013,"'Member I'm comin' back
"
1014,"I'll be takin' all the stacks, oh
"
1015,"I got broads in Atlanta
"
1016,"Twistin' dope, lean, and the Fanta
"
1017,"Stacks, oh
"
1018,"Credit cards and the scammers
"
1019,"Hittin' off licks in the bando
"
1020,"Takin' all the stacks, oh
"
1021,"Black X6, Phantom
"
1022,"White X6 looks like a panda
"
1023,"Stacks, oh
"
1024,"Going out like I'm Montana
"
1025,"Hundred killers, hundred hammers
"
1026,"Black X6, Phantom
"
1027,"White X6, panda
"
1028,"Pockets swole, Danny
"
1029,"Sellin' bar, candy
"
1030,"Man I'm the macho like Randy
"
1031,"The choppa go Oscar for Grammy
"
1032,"Bitch nigga, pull up ya panty
"
